Comment,Designator,Footprint,LCSC,Quantity
0805G (Green),LED2,LED0805-R-RD,C2297,1
100,"R14,R18",R0402_JLCPCB,C25076,2
100k,"R13,R15,R7",R0402_JLCPCB,C25741,3
100n,"C14,C15,C18,C20,C21,C22,C24,C31,C5",C0402_JLCPCB,C307331,9
10k,"R10,R11,R12,R20,R9",R0402_JLCPCB,C25744,5
10u,L1,IND-SMD_L3.2-W2.5_CKST322512-2.2UH,C39846661,1
10u,"C30,C4",C0805_JLCPCB,C440198,2
1k,"R17,R3",R0603_JLCPCB,C21190,2
1u,"C23,C29,C32,C7,C8,C9",C0603_JLCPCB,C15849,6
22,R25,R0402_JLCPCB,C25092,1
220k,R6,R0603_JLCPCB,C22961,1
22k,"R16,R8",R0402_JLCPCB,C25768,2
22p,"C25,C26,C27",C0402_JLCPCB,C1555,3
22u,"C16,C17,C19,C33",C0603_JLCPCB,C59461,4
330,"R19,R22,R23,R24",R0402_JLCPCB,C25104,4
3v3voltageregulator,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C191884,1
4.7n,"C1,C2,C3,C6",C0402_JLCPCB,C1538,4
47n,"C10,C11,C12,C13,C28",C0603_JLCPCB,C1622,5
"5,1K","R1,R2,R21",R0402_JLCPCB,C25905,3
510k,R4,R0603_JLCPCB,C23192,1
56k,R5,R0603_JLCPCB,C23206,1
DRV8316CRQRGFRQ1,IC1,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,C20345369,1
ESDA25L,D1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C95343,1
ESDA25P35-1U1M_C19829649,"D2,D4,D6",DFN1610-2L_L1.6-W1.0-P1.10-RD,C19829649,3
ESP32-S3-MINI-1-N8,U4,BULETM-SMD_ESP32-S3-MINI-1-N8,C2913206,1
"PMEG3050EP,115","D3,D5,D7",SOD-128_L3.7-W2.5-LS4.7-RD,C50603,3
Red,LED1,LED0603-RD_RED,C2286,1
STL9P3LLH6-TP,Q1,DFN-8_L3.0-W3.0-P0.65-BL_WPM3028-8,C49452333,1
STUSB4500QTR,U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,C2678061,1
TLE5009E1000FUMA1,U3,PG-DSO-8_L5.0-W4.0-P1.27-LS6.0-BL,C2655191,1
TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,2
TYPE-C-31-M-12,"USBC1,USBC2",USB-C_SMD-TYPE-C-31-M-12_1,C165948,2
~,J1,Connector_2pin_2_54,C49291872,1
~,J2,Connector_3pin_2_54,C49291873,1
